f109k_id,f109
0,-0.9998865588752973
1,-0.9996610112055788
2,-0.999276198104448
3,-0.9990877290627772
4,-0.9989304601789328
5,-0.9985227675203382
6,-0.9971581187613439
7,-0.996902111062432
8,-0.9967444243802627
9,-0.996302480315449
10,-0.9958726258474135
11,-0.9953439896950578
12,-0.9944767380610979
13,-0.9942049278572418
14,-0.9935948260747992
15,-0.9923574578302166
16,-0.9905514115127755
17,-0.9887709563465644
18,-0.9873335534393234
19,-0.9864556295993618
20,-0.984881639773233
21,-0.9842423948627262
22,-0.9831712435204076
23,-0.9822967758654453
24,-0.9805994464835328
25,-0.9780636145542836
26,-0.9768059484088367
27,-0.9749745917235546
28,-0.9741393771270239
29,-0.9737006813001639
30,-0.9726981875948844
31,-0.9706241051283613
32,-0.9689261473895525
33,-0.9665394000202185
34,-0.9656192708788001
35,-0.9648352839310842
36,-0.964207675555228
37,-0.9620496313849121
38,-0.9582178866499361
39,-0.9577475601377132
40,-0.9554264892234359
41,-0.9530333805169962
42,-0.9521654920012304
43,-0.951068974692258
44,-0.950354600060175
45,-0.9481286427030353
46,-0.9478471395782594
47,-0.9457433815956957
48,-0.9409087431150773
49,-0.9383438883113375
50,-0.9327586742829558
51,-0.9303645383481456
52,-0.9275285258997619
53,-0.923526943879768
54,-0.9225135344660824
55,-0.9202812369474958
56,-0.9180993006358582
57,-0.9153479989583424
58,-0.9140566660290785
59,-0.9123828885424303
60,-0.9082186589740128
61,-0.8999968791006315
62,-0.8939714662597309
63,-0.8895013704352241
64,-0.8883667906142343
65,-0.8845173881961801
66,-0.875839415889883
67,-0.8696173721900717
68,-0.8639749415494469
69,-0.8613791864633433
70,-0.8598328313014294
71,-0.8580649191704239
72,-0.8575710355333218
73,-0.8547277299299455
74,-0.8514944432328575
75,-0.8439570441743243
76,-0.8376433448045293
77,-0.835662658365133
78,-0.8341308767740855
79,-0.8314931255052758
80,-0.8306550106059105
81,-0.8293130820556959
82,-0.8268190021903032
83,-0.825582295658027
84,-0.8191786553975703
85,-0.8169385279209758
86,-0.8165407392429387
87,-0.8112317612743661
88,-0.8036748810418834
89,-0.7980261545738804
90,-0.7969603647367097
91,-0.7935725100160487
92,-0.7893951455841604
93,-0.7863100613720638
94,-0.7849883577733034
95,-0.7833363992068602
96,-0.7817182838563478
97,-0.7799144501973576
98,-0.7748935410773137
99,-0.7708073624317873
100,-0.7668600538863208
101,-0.764589957120539
102,-0.7599387264609279
103,-0.7527145749251294
104,-0.7476252175396336
105,-0.7443810451954541
106,-0.7406484944060513
107,-0.7377343044655879
108,-0.7333579373153818
109,-0.7263575687067136
110,-0.7234094984515453
111,-0.7199440721923633
112,-0.7115383882661899
113,-0.7023683989795433
114,-0.6972022462655438
115,-0.6927744177008903
116,-0.6893079205022594
117,-0.6850081069207423
118,-0.6820207887378293
119,-0.6788843821025257
120,-0.6776192716953126
121,-0.6756977474109805
122,-0.670445050711117
123,-0.6693722665178136
124,-0.662651673248023
125,-0.6536245784211088
126,-0.6443985140543004
127,-0.6420540933304384
128,-0.638956508287015
129,-0.6358360324001345
130,-0.6236652038642572
131,-0.6192620269047232
132,-0.6186364491388245
133,-0.6171229738033445
134,-0.6114298446056585
135,-0.6034281176673864
136,-0.597513584870421
137,-0.5939300301117951
138,-0.5906603596419716
139,-0.583852767866285
140,-0.5791465420379649
141,-0.5758770343449835
142,-0.5754126605716645
143,-0.5685699216189828
144,-0.5656402800794947
145,-0.5618133447194491
146,-0.5499730740084985
147,-0.5421668957247131
148,-0.5365497223696469
149,-0.5308813999237698
150,-0.527097856684712
151,-0.5239612948865857
152,-0.5202068610946258
153,-0.5141468895464365
154,-0.5053854578900047
155,-0.5005880592458696
156,-0.4959808283349312
157,-0.4850973055047653
158,-0.4822120083445661
159,-0.48014824271490253
160,-0.4741804473099932
161,-0.4687424259701375
162,-0.46467072505391016
163,-0.45654534045010436
164,-0.45098264912328156
165,-0.43360323231204634
166,-0.4202566093729145
167,-0.4150199286730327
168,-0.4132806394838554
169,-0.40954550942572177
170,-0.40453752157528733
171,-0.4002683225732955
172,-0.39056661522985714
